p_3423,c_871,3
p_4528,c_324,14
p_5065,c_922,5
p_9888,c_605,0
p_7334,c_793,8
p_1900,c_690,15
p_7113,c_418,15
p_9153,c_552,3
p_4099,c_119,15
p_6473,c_693,14
p_4494,c_478,11
p_4893,c_649,10
p_3483,c_422,0
p_9632,c_620,10
p_8566,c_831,14
p_7560,c_536,10
p_1135,c_43,6
p_2294,c_332,5
p_7284,c_20,14
p_2128,c_502,9
p_1336,c_924,0
p_3778,c_113,1
p_4006,c_367,12
p_9203,c_66,7
p_5099,c_384,3
p_9336,c_27,6
p_6109,c_809,3
p_7133,c_548,14
p_7783,c_358,11
p_1952,c_633,6
p_8558,c_489,6
p_6126,c_674,10
p_6612,c_689,5
p_1422,c_82,2
p_8948,c_154,0
p_5878,c_392,14
p_8425,c_636,9
p_995,c_789,1
p_874,c_220,10
p_6754,c_26,9
p_1613,c_656,15
p_2719,c_949,2
p_4446,c_821,5
p_2348,c_496,14
p_3304,c_589,14
p_1693,c_593,9
p_1560,c_797,6
p_589,c_630,14
p_134,c_560,3
p_5694,c_174,11
p_9947,c_22,3
p_135,c_644,7
p_7623,c_245,14
p_8269,c_962,3
p_9489,c_701,3
p_9900,c_268,15
p_6568,c_830,14
p_4639,c_291,7
p_9339,c_711,4
p_1812,c_408,0
p_4303,c_636,14
p_9712,c_742,14
p_6647,c_976,4
p_8680,c_295,2
p_3640,c_276,11
p_1856,c_114,6
p_1350,c_882,9
p_1876,c_916,9
p_259,c_86,11
p_9016,c_195,8
p_6517,c_456,11
p_1873,c_444,15
p_7946,c_492,5
p_8087,c_659,11
p_18,c_856,0
p_3858,c_407,15
p_9427,c_374,5
p_2240,c_290,11
p_7008,c_907,3
p_1352,c_324,8
p_265,c_421,1
p_8606,c_518,2
p_7028,c_785,0
p_9853,c_42,4
p_1192,c_805,6
p_2720,c_614,2
p_9061,c_580,11
p_1293,c_986,9
p_270,c_443,5
p_4160,c_579,11
p_1798,c_10,2
p_8247,c_287,2
p_503,c_615,13
p_9745,c_664,15
p_6378,c_752,4
p_3061,c_787,11
p_7524,c_628,4
p_3397,c_13,5
p_6233,c_715,9
p_3516,c_17,5
p_6990,c_467,14
p_8114,c_814,3
p_7138,c_27,3
p_7548,c_897,4
p_2230,c_692,15
p_3648,c_596,6
p_4156,c_122,7
p_1052,c_18,9
p_5344,c_883,7
p_3274,c_717,5
p_6612,c_781,8
p_5602,c_552,4
p_1030,c_130,1
p_8036,c_630,8
p_5607,c_208,4
p_402,c_113,4
p_3875,c_118,7
p_4061,c_141,6
p_5010,c_808,6
p_4420,c_222,8
p_7384,c_66,8
p_5801,c_833,4
p_8727,c_614,5
p_642,c_615,12
p_7408,c_416,10
p_7736,c_780,12
p_4452,c_756,14
p_5463,c_396,8
p_8529,c_631,12
p_9211,c_761,10
p_1399,c_839,12
p_6877,c_349,1
p_3975,c_616,4
p_665,c_755,14
p_7093,c_108,6
p_263,c_689,8
p_9775,c_670,15
p_4753,c_248,13
p_1470,c_963,9
p_6708,c_403,14
p_3126,c_300,11
p_2168,c_391,6
p_5551,c_973,1
p_616,c_500,1
p_1,c_569,9
p_6234,c_467,14
p_19,c_209,15
p_6169,c_227,0
p_4535,c_675,0
p_7823,c_864,12
p_9233,c_58,7
p_7053,c_53,14
p_8771,c_123,6
p_359,c_963,15
